Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Edgware,,Place,"[OCR Fix] ""Edgwareand"" -> ""Edgware"" (London)。",Q149651,Edgware,"district of north London, in the London Borough of Barnet","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edmond Bonnaffé,Q18011936,Person,[Validation] 法国收藏家/艺术写作者。,Q18011936,Edmond Bonnaffé,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edmé Bouchardon,,Person,[Reconstruction] 法国雕塑家。,Q987687,Edme Bouchardon,French artist (1698–1762),"High Confidence - Score: 113.3 (Sim: 0.93, Cat: Match)"
Edoardo Lombardo,,Person,[Validation] 现代学者 (威尼斯史)。,,,,No results found
Education of the Virgin,,Work,[Validation] 绘画主题。,Q28782831,Education of the virgin,painting by Attributed to Giovanni Romanelli,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edward Coke (1758-1837),,Person,"[Disambiguation] 可能是 Thomas Coke 的儿子或著名的法学家 (Sir Edward Coke, 早期)。结合上下文通常指 18世纪 Grand Tour 人物。",,,,No results found
Edward Croft-Murray,,Person,[Validation] 大英博物馆策展人。,Q20876083,Edward Croft-Murray,"British antiquarian, art historian, and museum curator","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edward Gibbon,Q161841,Person,[Validation] 历史学家。,Q161841,Edward Gibbon,English historian and politician (1737–1794),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edward Poore,Q75928552,Person,[Validation] 英国旅行者/日记作者。,Q75928525,Edward Poore,Peerage person ID=408733,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edward Wright,Q1294162,Person,[Validation] 英国旅行作家 (Some Observations made in Travelling...)。,Q1294162,Edward Wright,English mathematician and cartographer (1561-1615),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edward Young,Q507699,Person,[Validation] 诗人 (Night Thoughts)。,Q15055406,Eduard Young,Austrian painter,"High Confidence - Score: 111.7 (Sim: 0.92, Cat: Match)"
El Escorial,,Place,[Validation] 埃斯科里亚尔。 | [Validation] 西班牙修道院/皇宫。,Q985269,El Escorial,municipality in the Autonomous Community of Madrid,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elena Bassi,Q3721387,Person,[Validation] 艺术史学家 (Canova/Venice)。,Q3721387,Elena Bassi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elena Crinò,,Person,[Validation] 学者 (现代)。,,,,No results found
Eleonora Zambeccari,,Person,[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。 | [Validation] 博洛尼亚贵族。,,,,No results found
Elijah,Q133507,Person,[Validation] 先知。,Q19827682,Elijah,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elijah Taken Up in a Chariot of Fire,,Work,[Validation] 绘画主题。,Q20177926,Elijah Taken Up in a Chariot of Fire,painting by Giuseppe Angeli,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Elisa Carandini,,Person,[Category Fix] 原文误标为 Work。,,,,No results found
Elisabeth Dhanens,Q18346470,Person,[Validation] 艺术史学家 (Van Eyck专家)。,Q18346470,Elisabeth Dhanens,Belgian art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elisabetta Antoniazzi Rossi,,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。学者。",,,,No results found
Elizabeth Du Gué Trapier,,Person,[Validation] 艺术史学家 (Hispanic Society)。,Q16271130,Elizabeth Du Gue Trapier,Spanish art expert,"High Confidence - Score: 95.8 (Sim: 0.96, Cat: Neutral)"
"Elizabeth Felton, Countess of Bristol",,Person,[Disambiguation] 赫维勋爵的妻子。,Q3723395,Elizabeth Felton,(1676-1741),"Medium Confidence - Score: 60.4 (Sim: 0.60, Cat: Neutral)"
Elizabeth Yates,Q4990813,Person,[Validation] 演员/作家 (可能指同名者，需上下文)。,Q5363769,Elizabeth Yates,American writer (1905–2001),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ellis Waterhouse,Q3051533,Person,[Validation] 艺术史学家。 | 英国艺术史学家。,Q3051533,Ellis Waterhouse,British art historian (1905-1985),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elpidio Benedetti,Q60628565,Person,[Validation] 罗马的法国代理人/经纪人。,Q60628565,Elpidio Benedetti,Person; male; cleric/religious official; Italian (1661–1682),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Emil Kauffmann,Q31789636,Person,[Validation] 音乐家/艺术爱好者 (Angelica Kauffman父亲?)。需区分 Emil Kaufmann (建筑史学家) 或 Friedrich Kauffmann。应为 Emil Kaufmann (1891–1953) 建筑史学家。,Q31789636,Emil Kauffmann,German composer,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Emilia-Romagna,,Place,[Validation] 意大利大区。,Q1263,Emilia-Romagna,region of Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Emilio Bonomelli,Q93270100,Person,[Validation] 教皇宫廷官员 (Castel Gandolfo)。,Q93270100,Emilio Bonomelli,"Italian lawyer, politician and journalist (1890-1970)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Emilio De Tipaldo,,Person,[Validation] 传记作家。,Q3724329,Emilio Amedeo De Tipaldo,(1798-1878),"Medium Confidence - Score: 82.9 (Sim: 0.83, Cat: Neutral)"
Emilio Lavagnino,Q3724437,Person,[Validation] 艺术史学家/策展人。,Q3724437,Emilio Lavagnino,Italian art historian and critic (1898-1963),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Emilio Morpurgo,Q3724468,Person,[Validation] 帕多瓦统计学家/政治家。,Q3724468,Emilio Morpurgo,Italian politician (1836–1885),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Emily Temple, Viscountess Palmerston",,Person,19世纪英国贵族。 | [Disambiguation] 帕默斯顿夫人。,Q5372252,"Emily Temple, Viscountess Palmerston",British countess (1787-1869),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Emmanuele Antonio Cicogna,Q1338457,Person,[Validation] 威尼斯碑铭学家/历史学家。,Q1338457,Emmanuele Antonio Cicogna,Italian historian (1789-1868),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Emperor Henry IV Kneeling Before Pope Gregory VII,Q19898046,Work,[Validation] 绘画主题 (Canossa)。,,,,No results found
Enea Arnaldi / Lodovico Arnaldi?,,Person,"[Check] 可能是 ""Enea Arnaldi"" (维琴察学者) 或 ""Lodovico Arnaldi"" (贵族)。待定为 Lodovico Arnaldi。",,,,No results found
Enea Silvio Caprara,,Person,[Disambiguation] 奥地利元帅。 | [Disambiguation] 奥地利陆军元帅 (Enea Silvio Caprara)。,,,,No results found
English patronage,,Concept,[Validation] 艺术赞助。,,,,No results found
Enrico Brol (Author),,Person,"[Check Original] 可能是 ""Enrico Broilo""? 待定。",,,,No results found
Enrico Carusi,Q21207482,Person,[Validation] 梵蒂冈图书馆员/法制史学家。,Q21207482,Enrico Carusi,"Italian priest, librarian and historian (1878-1945)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Enrico Narducci,Q19999223,Person,[Validation] 罗马图书馆员/目录学家。,Q19999223,Enrico Narducci,librarian and bibliographer (1832-1893),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Enrico Zuccalli,Q124421,Person,[Validation] 建筑师。,Q124421,Enrico Zuccalli,Swiss architect,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Enriqueta Harris,Q3054716,Person,[Validation] 艺术史学家 (Velázquez专家)。,Q3054716,Enriqueta Harris,British writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Entrance of Procurator Giorgio Pisani,,Place,"[OCR Fix] ""nell＊ingresso"" -> ""nell'ingresso""。指代具体位置或该处的装饰/铭文。",,,,No results found
Entry of the Count of Colloredo,,Work,[Validation] 卡纳莱托画作。,,,,No results found
Enzo Bentivoglio,Q21548348,Person,[Validation] 费拉拉侯爵/赞助人。,Q123115360,Enzo Bentivoglio,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Enzo Crea,,Person,[Validation] 罗马出版商/学者。,Q132063168,Enzo Créations,,"Medium Confidence - Score: 69.6 (Sim: 0.70, Cat: Neutral)"
Epicurus,Q43216,Person,[Validation] 哲学家。,Q43216,Epicurus,ancient Greek philosopher,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Equestrian Statue of Henry IV,,Work,[Validation] 巴黎新桥雕塑 (Giambologna/Tacca)。,Q3497607,Equestrian statue of Henry IV,statue in Paris by Fran?ois-Frédéric Lemot,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Equestrian Statue of Louis XIV,Q3497625,Work,[Validation] 贝尼尼/Girardon雕塑。,Q3497625,Equestrian Statue of Louis XIV,Statue by Gian Lorenzo Bernini,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ercole Ferrata,Q1348674,Person,[Validation] 罗马巴洛克雕塑家。,Q1348674,Ercole Ferrata,Italian artist (1610-1686),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ercole Graziani,,Person,[Validation] 博洛尼亚画家。,Q97583522,Ercole Graziani the Elder,Italian artist (1651–1726),"High Confidence - Score: 95.0 (Sim: 0.75, Cat: Match)"
Ercole Lelli,Q3056021,Person,[Validation] 解剖蜡像制作师/艺术家。,Q3056021,Ercole Lelli,"Italian anatomist, sculptor and painter (1702-1766)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Ercole Procaccini the Elder,Q3056023,Person,[Validation] 画家。 | 米兰画家（或指 Younger）。,Q3056023,Ercole Procaccini the Elder,"(1520 – 1595) was an Italian painter of the Renaissance period, mainly active in Milan","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Erminia,Q17324876,Person (Lit),[Validation] 《耶路撒冷的解放》人物。,Q3732023,Erminia,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ernst Gombrich,Q78504,Person,[Validation] 艺术史学家。,Q78504,Ernst Gombrich,Austrian art historian (1909–2001),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ernst Zacharias Platner,,Person,(Platner) 莱比锡的《Description of Rome》合著者。,Q990955,Ernst Zacharias Platner,German artist (1773-1855),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Erwin Panofsky,Q57656,Person,[Validation] 图像学家。,Q57656,Erwin Panofsky,German art historian (1892–1968),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Esau,Q220822,Person,[Validation] 圣经人物。,Q81826641,Esau,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Este,,Place,[Validation] 城镇/家族发源地。,Q34607,Este,Italian comune,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Estella Brunetti,,Person,[Validation] 艺术史学家。,,,,No results found
Esther,,Person,[Validation] 圣经人物。,Q837839,Esther,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Esther before Ahasuerus,Q26492606,Work,[Validation] 绘画主题。,Q3733425,Esther before Ahasuerus,painting by Artemisia Gentileschi,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Et in Arcadia ego,Q15805858,Work,[Category Fix] 普桑画作的临摹/版画。 | [Validation] 普桑/Guercino画作标题。,Q1140358,Et in Arcadia ego,painting by Nicolas Poussin in the Louvre,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Etchings of Oriental-style Heads,,Work,[Validation] Castiglione 或 Tiepolo 作品。,,,,No results found
Eteocles,Q506550,Person (Myth),[Validation] 神话人物。,Q506550,Eteocles,mythological king of Thebes,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Eteocles and Polynices,,Work,[Validation] 绘画主题。,Q21614334,Eteocles and Polynices,painting by Frans Francken II,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Euclid,Q8747,Person,[Validation] 古希腊数学家。,Q8747,Euclid,ancient Greek mathematician (fl. 300 BC),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Eugene of Savoy,,Person,欧根亲王，著名的将领和收藏家。,Q152428,Eugene of Savoy,"prince of the house of Savoy, then commander in chief of the armies of the Holy Roman Empire (1663-1736)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Eugène Michaud,Q23806382,Person,[Validation] 历史学家 (19世纪)。,Q23806382,Eugène Michaud,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Euphrasian Basilica (Poreč),,Place,[Disambiguation] 波雷奇大教堂。,,,,No results found
Europa,,Person (Myth),[Category Fix] 原文误标为 Man-Made Object。神话人物。,Q165170,Europa,"Phoenician character in Greek mythology, daughter of Agenor","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
European scientific societies,,Group/Concept,[Category Fix] 原文误标为 Place。,,,,No results found
Eusebio Della Lena,Q104804972,Person,[Validation] 威尼斯作家 (18世纪)。,Q104804972,Eusebio Della Lena,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Eustachio Manfredi,Q3541151,Person,[Validation] 天文学家/诗人。,Q3541151,Eustachio Manfredi,"Italian mathematician, astronomer and poet (1674–1739)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Eustachio Zanotti,Q3735039,Person,[Validation] 天文学家。,Q3735039,Eustachio Zanotti,Italian astronomer and engineer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Evelina Borea,Q3735302,Person,[Validation] 现代艺术史学家。,Q3735302,Evelina Borea,Italian art historian (1931-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Everhard Jabach,Q103934,Person,[Validation] 收藏家 (路易十四赞助)。 | [Validation] 收藏家。,Q103934,Everhard Jabach,German private banker (1618–1695),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Exhibition of S. Rocco,,Event,[Category Fix] 威尼斯圣罗格大会堂的年度画展。,,,,No results found
Ezekiel,Q194064,Person,[Validation] 先知。,Q19271130,Ezekiel,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Fabia Borroni Salvadori,,Person,[Full Name] 版画研究学者。,Q55946258,Fabia Borroni,Italian librarian (1921-1986),"Medium Confidence - Score: 72.2 (Sim: 0.72, Cat: Neutral)"
Fabio Canal,Q3737627,Person,[Validation] 威尼斯画家。,Q3737627,Fabio Canal,Italian painter (1703-1767),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Fabio Mauroner,Q3737779,Person,[Validation] 20世纪艺术史学家/版画家。,Q3737779,Fabio Mauroner,Italian writer (1884-1948),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Fabio de Fabiis,,Person,[Validation] 罗马人物。,,,,No results found
Fabio degli Abati Olivieri,Q3063732,Person,[Validation] 枢机主教。,Q3063732,Fabio degli Abati Olivieri,Italian cardinal (1658-1738),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Fabrizio Moretti,Q47542159,Person,[Context] 可能是现代艺术商 (Moretti Fine Art)，也可能指历史人物。鉴于列表多为艺术史相关，可能是前者或其画廊。需确认上下文。,Q522260,Fabrizio Moretti,Brazilian-American musician,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Fabrizio Pignatelli d'Aragona,,Person,[Validation] 贵族 (Monteleone公爵)。,Q105963506,"Fabrizio Pignatelli d'Aragona, 10th Duke of Monteleone, 9th Marquess of the Valley of Oaxaca",Mexican nobleman (1718-1763),"Medium Confidence - Score: 67.9 (Sim: 0.48, Cat: Match)"
Fabrizio Savelli,,Person,17世纪红衣主教（或 Giulio Savelli）。,Q3064019,Fabrizio Savelli,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Fabrizio Spada,Q1355246,Person,[Validation] 枢机主教。,Q1355246,Fabrizio Spada,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Fabrizio Tarso,,Person,[Validation] 历史人物 (可能与 Spada 家族有关)。,,,,No results found
Fabrizio Valguarnera,,Person,[Validation] 17世纪西西里贵族/收藏家 (宝石/画作)。,Q21714539,Fabrizio Valguarnera,"art dealer (person), physician, noble","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Facade of Santa Maria del Giglio,,Work,[Validation] 威尼斯教堂立面 (Giuseppe Sardi)。,,,,No results found
Faith crushing Idolatry,,Work,[Validation] 雕塑/绘画主题 (Theodon等)。,,,,No results found
Fame Carrying the Name of Louis XIV...,,Work,[Validation] 绘画主题 (Le Brun等)。,,,,No results found
Fame inscribing the glories of Louis XIV...,,Work,[Validation] 绘画主题。,,,,No results found
Famiano Strada,Q2531858,Person,[Validation] 耶稣会历史学家。,Q2531858,Famiano Strada,Italian historian (1572-1649),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Fantastical Heads in the Manner of Giorgione,,Work,[Validation] 画作/版画描述 (Pietro della Vecchia等)。,,,,No results found
Fantasy and reason,,Concept,[Validation] 艺术理论概念。,,,,No results found
Farnese (Family),,Group,[Category Fix] 原文误标为 Place。,,,,No results found
Fausta Franchini Guelfi,Q111282793,Person,[Validation] 艺术史学家 (Alessandro Magnasco专家)。,Q111282793,Fausta Franchini Guelfi,Italian art historian (1943-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Faustina Savorgnan,,Person,[Validation] 威尼斯贵族。,,,,No results found
Fausto Rughesi,Q124857379,Person,[Validation] 建筑师 (Santa Maria in Vallicella立面)。,Q109295630,Fausto Rughesi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Federico Barocci,Q316731,Person,[Validation] 乌尔比诺画家。,Q316731,Federico Barocci,Italian painter (1535-1612),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Federico Bencovich,,Person,"[OCR Fix] ""Federiko Benkovi?"" -> ""Federico Bencovich"" (Dalmatian painter)。 | [Reconstruction] 达尔马提亚/威尼斯画家。",Q1269439,Federiko Benkovi?,Italian painter (1667-1753),"High Confidence - Score: 100.0 (Sim: 0.80, Cat: Match)"
Federico Borromeo,Q469171,Person,[Category Fix] 原文误标为 Place。米兰枢机主教/Ambrosiana创建者。,Q469171,Federico Borromeo,Cardinal Archbishop of Milan (1564–1631),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Federico Cervelli,Q1747554,Person,[Validation] 威尼斯画家 (Sebastiano Ricci的老师)。,Q1747554,Federico Cervelli,Italian painter (1625-1700),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Federico Cesi,Q322023,Person,[Validation] 猞猁之眼学院创始人。,Q1605089,Federico Cesi,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
