Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Discalced Carmelites,,Q11739797,Group,[Validation] 跣足加尔默罗会。,Discalced Carmelites Monastery in Zawoja,,"Medium Confidence - Score: 66.7 (Sim: 0.67, Cat: Neutral)"
Divine Love Conquering Earthly Love,Q113753132,Q113753132,Work,[Validation] 绘画主题 (Baglione)。,Divine Love Conquering Earthly Love (Baglione),painting by Giovanni Baglione,"High Confidence - Score: 106.4 (Sim: 0.86, Cat: Match)"
Divine Right of Kings,,Q839452,Concept,[Validation] 政治概念。,divine right of kings,political and religious doctrine of the legitimacy of monarchs,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Divine Virtues,,,Work,[Validation] 绘画/雕塑主题。,,,No results found
Doge's Palace (Palazzo Ducale),,Q2047566,Place,[Validation] 威尼斯总督宫。,Doge's Palace,"building in Genoa, Italy",Advanced Match via 'Doge's Palace': Score 120.0 (Match)
Doge's Palace (Venice),,Q21161872,Place,[Category Fix] 威尼斯总督宫（最常见指代，除非上下文指曼托瓦）。,Doge's Palace (Venice) - Capitals,,"Medium Confidence - Score: 80.0 (Sim: 0.80, Cat: Neutral)"
Dolfin (Family),,Q1235487,Group,[Validation] 威尼斯家族。,Dolfin,Wikipedia Page Match,Advanced Match via 'Dolfin': Score 105.0 (Neutral)
Dome Frescoes (Sant'Agnese in Agone),,,Work,[Validation] 罗马教堂壁画 (Ciro Ferri/Corrado Giaquinto?)。实际上是 Ciro Ferri 和 Baciccio 参与。,,,No results found
Domenichino,,Q320118,Person,[Validation] 博洛尼亚画家。 | [Validation] 多梅尼基诺。,Domenichino,Italian painter (1581–1641),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Bernini,Q2338440,Q2338440,Person,[Validation] 贝尼尼之子/传记作者。,Domenico Bernini,Italian 17th-century historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Brugieri,,Q16240592,Person,[OCR Fix] 卢卡画家 (Domenico Brugieri/Brugieri)。,Giovanni Domenico Brugieri,Italian painter (1678-1744),"High Confidence - Score: 99.1 (Sim: 0.79, Cat: Match)"
Domenico Carutti,Q3712948,Q3712948,Person,[Validation] 历史学家。,Domenico Carutti,"historian, diplomat and politician from Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Cerato,Q3712960,Q3712960,Person,[Disambiguation] 帕多瓦建筑师 (Abate Cerato)。 | [Validation] 建筑师。,Domenico Cerato,Italian architect (1715-1792),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Darmanno,,,Person,"[Check Original] 极生僻。可能是 ""Domenico D'Arminio""? 或者误拼。待定。",,,No results found
Domenico Fedini,,Q3713023,Person,[Reconstruction] 18世纪佛罗伦萨/罗马神职人员/作家。,Domenico Farini,Wikipedia Page Match,Advanced Match via 'Domenico Fedini': Score 91.7 (Neutral)
Domenico Fetti,Q551695,Q551695,Person,[Reconstruction] 画家。 | [Validation] 画家。,Domenico Fetti,Italian painter (c.1589–1623),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Fontana,Q336806,Q66624849,Person,[Validation] 建筑师。,Domenico Fontana,"German article in Die Gartenlaube, 1854, no. 28, 29","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Gargiulo (Micco Spadaro),,Q1170226,Person,[Validation] 那不勒斯画家。,Domenico Gargiulo,Neapolitan painter (1609-1675),Advanced Match via 'Domenico Gargiulo': Score 120.0 (Match)
Domenico Ginnasi,Q1237172,Q1237172,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。,Domenico Ginnasi,Italian cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Guidi,Q937081,Q937081,Person,[Validation] 雕塑家。,Domenico Guidi,Italian Baroque sculptor (1625-1701),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Lionati da Fanano,,,Person,"[OCR Fix/Reconstruction] 极可能是 ""Domenico Lionati"" 或 ""Lelonotti"" (罕见)。Fanano 是地名。",,,No results found
Domenico Lovisa,Q19569565,Q19569565,Person,[Validation] 威尼斯出版商 (Il Gran Teatro di Venezia)。,Domenico Lovisa,"Italian painter and publisher, ca. 1690–ca. 1750 (1690–1750)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Maria Fratta,Q5290109,Q5290109,Person,[Reconstruction] 博洛尼亚版画家。 | [Validation] 博洛尼亚版画家。,Domenico Maria Fratta,Italian painter and draughtsman (1696-1763),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Maria Viani,Q5290110,Q5290110,Person,[Validation] 博洛尼亚画家。,Domenico Maria Viani,Italian painter (1668-1711),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Martinelli,Q685236,Q685236,Person,[Validation] 建筑师 (Lucca/Vienna)。,Domenico Martinelli,Italian architect (1650-1718),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Michelessi,Q5986198,Q5986198,Person,[Validation] 作家。,Domenico Michelessi,Italian writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Domenico Parodi,Q16853938,Q16853938,Person,[Validation] 热那亚画家/雕塑家。,Domenico Parodi,Italian painter and sculptor (1672-1742),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Passignano,Q966655,Q966655,Person,(Domenico Cresti) 佛罗伦萨画家。 | [Validation] 画家。,Domenico Passignano,painter from Italy (1559–1638),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Piola,Q1054362,Q1054362,Person,[Validation] 热那亚画家。,Domenico Piola,Italian painter (1627-1703),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Pompeati,,,Person,,,,No results found
Domenico Riccio (Il Brusasorci),,Q2297219,Person,[Validation] 维罗纳画家。,Domenico Riccio,Italian painter (1516-1567),Advanced Match via 'Domenico Riccio': Score 120.0 (Match)
Domenico Rossi,Q60335720,Q108446764,Person,[Validation] 威尼斯建筑师。,Domenico Rossi,bishop of the Roman Catholic Church,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Valeriani,Q20203313,Q20203313,Person,[Validation] 威尼斯画家 (Perspectivist)。,Domenico Valeriani,Italian painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Viola,Q3034775,Q3034775,Person,[Validation] 那不勒斯画家。,Domenico Viola,painter (1610-1696),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico Zanetti,,Q1237287,Person,威尼斯画家（活跃于德国）。,Domenico Zanetti,Italian painter (1694-1712),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Domenico and Giuseppe Valeriani,,Q108451300,Person,威尼斯画家兄弟 (透视法/舞台设计)。,Domenico,14th-century Albanian nobleman and Archbishop,Advanced Match via 'Domenico': Score 120.0 (Match)
Domenico da Isnello,,,Person,[Validation] 建筑师/工程师。,,,No results found
Dominicans,Q131479,Q3247924,Group,[Validation] 多明我会。,Dominicans,citizens or residents of the Dominican Republic,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Dominique Vivant, Baron Denon",,Q468618,Person,[Full Name] 卢浮宫首任馆长/艺术家。,Vivant Denon,"French artist, writer, diplomat, author, and archaeologist (1747-1825)","Medium Confidence - Score: 78.5 (Sim: 0.59, Cat: Match)"
Donald Posner,Q18934914,Q18934914,Person,[Validation] 艺术史学家。,Donald Posner,art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Donato Bramante,,Q7793,Person,[Reconstruction] 建筑师。,Donato Bramante,Italian architect and painter (1444–1514),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Donato Creti,Q2340302,Q2340302,Person,[Validation] 博洛尼亚画家。,Donato Creti,Italian painter (1671-1749),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Dora Coggiola,Q104844536,Q104844536,Person,[Validation] 图书馆员/艺术作者 (20世纪)。,Dora Coggiola,Italian librarian (1917-1986),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dosso Dossi,Q356777,Q356777,Person,[Validation] 费拉拉画家。,Dosso Dossi,Italian painter; (c.1490-1542),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
"Douglas Hamilton, 8th Duke of Hamilton",,Q1252199,Person,[Disambiguation] 汉密尔顿公爵。,"Douglas Hamilton, 8th Duke of Hamilton",British noble (1756-1799),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Drawings of Sagredo Family Members,,,Work,[Validation] 素描集。,,,No results found
Dream of St Joseph,,,Work,[Validation] 绘画主题。,,,No results found
Dresden,,Q1731,Place,[Validation] 城市。,Dresden,capital city of the Free State of Saxony in Germany,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Drunken Silenus,Q17652393,Q3960488,Work,[Validation] 绘画主题 (Rubens/Van Dyck)。,Drunken Silenus,painting by Anthony van Dyck,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Duchess of Bagnara,,,Person,[Validation] 贵族头衔 (Ruffo家族)。,,,No results found
Duchess of Savoy,,,Person,泛指，需语境（如 Anne Marie d'Orléans）。,,,No results found
Duel between Aeneas and Mezentius,Q110872609,Q110872609,Work,[Validation] 绘画主题。,Duel between Aeneas and Mezentius,painting by Gregorio Lazzarini made for Raimondo Buonaccorsi and preserved in the Civic Museums of Palazzo Buonaccorsi in Macerata,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Duke of Devonshire,,Q541098,Person,[Validation] 英国贵族 (Chatsworth主人)。,Duke of Devonshire,title in the Peerage of England,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duke of Lorraine,,Q21096112,Person,"[Ambiguity] 需区分 (Charles V, Leopold, etc.)。",Duke of Lorraine,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duke of Manchester,,Q302545,Person,"[Ambiguity] 可能是 1st Duke (Charles Montagu) 或 4th Duke (George Montagu)。结合 Grand Tour, 多指 4th Duke。",Duke of Manchester,title in the Peerage of Great Britain,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duke of Modena,,Q715243,Person,摩德纳公爵（通常指 Este 家族）。,"Francesco II d'Este, Duke of Modena",Italian noble (1660-1694),"Low Confidence - Score: 57.1 (Sim: 0.57, Cat: Neutral)"
Duke of Richmond,,Q1264599,Person,参见 Lord March (Charles Gordon-Lennox)。,Duke of Richmond,peer of the realm of England,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Dukes of Parma,,Q390311,Person,帕尔马公爵（Farnese/Bourbon家族）。,liste of dukes of Parma,Wikimedia list article,"Medium Confidence - Score: 75.7 (Sim: 0.76, Cat: Neutral)"
Dulwich,,Q146766,Place,"[OCR Fix] ""Didwich"" -> ""Dulwich"" (Dulwich Picture Gallery)。",Dulwich,"district in the London Borough of Southwark, England","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Duplex Intercessio,,,Work/Concept,[Validation] 双重代祷 (绘画神学主题)。,,,No results found
Dutch artists,,,Group,[Validation] 艺术家群体。,,,No results found
Dux (Duchcov),,Q829120,Place,[Validation] 捷克地名 (卡萨诺瓦晚年居住地)。,Dux,Wikipedia Page Match,Advanced Match via 'Dux': Score 105.0 (Neutral)
Dwight C. Miller,,Q111592364,Person,现代艺术史学家（博洛尼亚画派专家）。,Dwight C. Miner,Wikipedia Page Match,Advanced Match via 'Dwight C. Miller': Score 95.3 (Neutral)
Düsseldorf,,Q1718,Place,[Validation] 城市。,Düsseldorf,capital city of the German federated state of North Rhine-Westphalia,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Earl of Carlisle,,Q2626440,Person,[Validation] 英国贵族头衔。,Earl of Carlisle,Title in the Peerage of England,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Earl of Dartmouth,,Q5326247,Person,[Validation] 英国贵族。,Earl of Dartmouth,title in the Peerage of Great Britain,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Earl of Halifax,,Q1277292,Person,[Validation] 英国贵族 (Charles Montagu)。,Earl of Halifax,nobility title,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Earl of Tankerville,,Q5326378,Person,查尔斯·贝内特（Charles Bennet）等。,Earl of Tankerville,English and British title of nobility,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ecstasy of Saint Teresa,Q1333433,Q1333433,Work,[Category Fix] 圣特蕾莎的狂喜（或相关主题）。 | [Validation] 贝尼尼雕塑。,Ecstasy of Saint Teresa,sculpture by Gian Lorenzo Bernini,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edgar Wind,Q72294,Q72294,Person,[Validation] 艺术史学家。,Edgar Wind,German-born British interdisciplinary art historian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edgar de Vaes,,Q46373,Person,[Check Original] 可能是人名或拼写错误。,Edgar Degas,Wikipedia Page Match,Advanced Match via 'Edgar de Vaes': Score 88.3 (Neutral)
Edgware,,Q149651,Place,"[OCR Fix] ""Edgwareand"" -> ""Edgware"" (London)。",Edgware,"district of north London, in the London Borough of Barnet","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edmond Bonnaffé,Q18011936,Q18011936,Person,[Validation] 法国收藏家/艺术写作者。,Edmond Bonnaffé,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edmé Bouchardon,,Q987687,Person,[Reconstruction] 法国雕塑家。,Edme Bouchardon,French artist (1698–1762),"High Confidence - Score: 113.3 (Sim: 0.93, Cat: Match)"
Edoardo Lombardo,,,Person,[Validation] 现代学者 (威尼斯史)。,,,No results found
Education of the Virgin,,Q28782831,Work,[Validation] 绘画主题。,Education of the virgin,painting by Attributed to Giovanni Romanelli,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edward Coke (1758-1837),,Q332435,Person,"[Disambiguation] 可能是 Thomas Coke 的儿子或著名的法学家 (Sir Edward Coke, 早期)。结合上下文通常指 18世纪 Grand Tour 人物。",Edward Coke,Wikipedia Page Match,Advanced Match via 'Edward Coke': Score 105.0 (Neutral)
Edward Croft-Murray,,Q20876083,Person,[Validation] 大英博物馆策展人。,Edward Croft-Murray,"British antiquarian, art historian, and museum curator","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edward Gibbon,Q161841,Q161841,Person,[Validation] 历史学家。,Edward Gibbon,English historian and politician (1737–1794),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edward Poore,Q75928552,Q75928525,Person,[Validation] 英国旅行者/日记作者。,Edward Poore,Peerage person ID=408733,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Edward Wright,Q1294162,Q1294162,Person,[Validation] 英国旅行作家 (Some Observations made in Travelling...)。,Edward Wright,English mathematician and cartographer (1561-1615),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Edward Young,Q507699,Q15055406,Person,[Validation] 诗人 (Night Thoughts)。,Eduard Young,Austrian painter,"High Confidence - Score: 111.7 (Sim: 0.92, Cat: Match)"
El Escorial,,Q985269,Place,[Validation] 埃斯科里亚尔。 | [Validation] 西班牙修道院/皇宫。,El Escorial,municipality in the Autonomous Community of Madrid,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elena Bassi,Q3721387,Q3721387,Person,[Validation] 艺术史学家 (Canova/Venice)。,Elena Bassi,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elena Crinò,,Q5359029,Person,[Validation] 学者 (现代)。,Elena Grinenko,Wikipedia Page Match,Advanced Match via 'Elena Crinò': Score 77.0 (Neutral)
Eleonora Zambeccari,,,Person,[Category Fix] 原文误标为 Man-Made Object。博洛尼亚贵族。 | [Validation] 博洛尼亚贵族。,,,No results found
Elijah,Q133507,Q19827682,Person,[Validation] 先知。,Elijah,male given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elijah Taken Up in a Chariot of Fire,,Q20177926,Work,[Validation] 绘画主题。,Elijah Taken Up in a Chariot of Fire,painting by Giuseppe Angeli,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Elisa Carandini,,,Person,[Category Fix] 原文误标为 Work。,,,No results found
Elisabeth Dhanens,Q18346470,Q18346470,Person,[Validation] 艺术史学家 (Van Eyck专家)。,Elisabeth Dhanens,Belgian art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elisabetta Antoniazzi Rossi,,,Person,"[OCR Fix] ""Elizabetta"" -> ""Elisabetta""。学者。",,,No results found
Elizabeth Du Gué Trapier,,Q16271130,Person,[Validation] 艺术史学家 (Hispanic Society)。,Elizabeth Du Gue Trapier,Spanish art expert,"High Confidence - Score: 95.8 (Sim: 0.96, Cat: Neutral)"
"Elizabeth Felton, Countess of Bristol",,Q3723395,Person,[Disambiguation] 赫维勋爵的妻子。,Elizabeth Felton,(1676-1741),"Medium Confidence - Score: 60.4 (Sim: 0.60, Cat: Neutral)"
Elizabeth Yates,Q4990813,Q5363769,Person,[Validation] 演员/作家 (可能指同名者，需上下文)。,Elizabeth Yates,American writer (1905–2001),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Ellis Waterhouse,Q3051533,Q3051533,Person,[Validation] 艺术史学家。 | 英国艺术史学家。,Ellis Waterhouse,British art historian (1905-1985),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Elpidio Benedetti,Q60628565,Q60628565,Person,[Validation] 罗马的法国代理人/经纪人。,Elpidio Benedetti,Person; male; cleric/religious official; Italian (1661–1682),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Emil Kauffmann,Q31789636,Q31789636,Person,[Validation] 音乐家/艺术爱好者 (Angelica Kauffman父亲?)。需区分 Emil Kaufmann (建筑史学家) 或 Friedrich Kauffmann。应为 Emil Kaufmann (1891–1953) 建筑史学家。,Emil Kauffmann,German composer,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Emilia-Romagna,,Q1263,Place,[Validation] 意大利大区。,Emilia-Romagna,region of Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Emilio Bonomelli,Q93270100,Q93270100,Person,[Validation] 教皇宫廷官员 (Castel Gandolfo)。,Emilio Bonomelli,"Italian lawyer, politician and journalist (1890-1970)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Emilio De Tipaldo,,Q3724329,Person,[Validation] 传记作家。,Emilio Amedeo De Tipaldo,(1798-1878),"Medium Confidence - Score: 82.9 (Sim: 0.83, Cat: Neutral)"
Emilio Lavagnino,Q3724437,Q3724437,Person,[Validation] 艺术史学家/策展人。,Emilio Lavagnino,Italian art historian and critic (1898-1963),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
